"date","o3","blh","z","msl","rh","ssrd","strd","tcc","tmax","Direction","ws"
2000-01-01,25.7389640808105,370.522837651542,182.3946431559,102282.058591664,95.3435459136963,11.0837052070459,290.785857902267,0.921047411228931,277.788513183594,247.714838459605,3.95747566223145
2000-01-02,25.6303997039795,237.063597247698,223.057513826176,102795.481401546,94.2702236175537,1.98333333333333,293.446732855903,0.712358658997231,277.370147705078,251.188032784558,3.96722078323364
2000-01-03,20.0825080871582,603.903470682119,192.628678818547,102386.109163513,85.2602691650391,19.6988888888889,256.388578559028,0.999679550761685,279.835327148438,231.811662417012,6.15343570709229
2000-01-04,27.8516693115234,515.622794450817,135.104926963082,101676.583945302,90.8984203338623,11.2944444444444,310.070912543403,0.998794500481674,278.830108642578,225.243331104552,6.15324258804321
2000-01-05,27.432653427124,707.4743852058,153.605440030136,101911.513030649,82.1680297851562,4.2,314.789411892361,0.468435749928517,279.417541503906,252.57483926967,5.48591804504395
2000-01-06,14.1701135635376,332.454548898913,151.528572979773,101878.654955328,84.5896530151367,30.8233333333333,242.197133246528,0.362565425054027,278.659301757812,207.383107847494,4.95943832397461
2000-01-07,15.1605100631714,664.686887103671,172.921214505119,102134.874104459,85.5553245544434,28.5711111111111,252.836032986111,0.824500633269735,280.147583007812,237.432671069886,4.89623022079468
2000-01-08,22.0484390258789,612.209279137238,156.146869447029,101936.80267289,83.0545825958252,17.1355555555556,303.922238498264,0.899851982971412,278.8095703125,225.208621497807,5.70110893249512
2000-01-09,17.6990356445312,490.642446294133,187.673346908907,102334.114643577,94.9205150604248,12.6,299.599019097222,0.869745013963431,278.234039306641,274.652575092964,2.36836671829224
2000-01-10,17.3976879119873,250.906611339563,275.880987620292,103491.838776838,96.3362617492676,17.24,281.854104817708,0.917552988571644,274.948120117188,294.616532588071,1.29206764698029
2000-01-11,10.48046875,235.175913507898,297.56511925797,103779.377701883,85.2985935211182,25.0222222222222,264.461971571181,0.571299955748486,274.410247802734,213.544543731979,2.77762889862061
2000-01-12,11.9386854171753,394.055961607712,253.267731249557,103208.360962225,85.6453971862793,32.4788888888889,232.911281467014,0.698411487343255,274.463409423828,208.707071692164,4.50772523880005
2000-01-13,9.70742034912109,492.404284451279,176.751576762478,102247.293025079,83.4339714050293,22.3577777777778,255.048386501736,0.854409228939092,272.080200195312,198.336695856443,3.95650315284729
2000-01-14,5.18001890182495,188.675970717497,173.57251272486,102191.23739471,86.7423915863037,26.1777777777778,254.947239583333,0.808264538477798,274.059631347656,181.930294039365,1.87648355960846
2000-01-15,14.1314220428467,325.72181022696,252.611878496811,103206.330407009,91.8753890991211,15.9644444444444,272.151513671875,0.810568721103345,273.808898925781,336.901163911233,2.02948212623596
2000-01-16,30.7345924377441,260.722566786522,259.548432263705,103275.492348321,94.531322479248,19.5122222222222,265.457290581597,0.928433003220752,277.028656005859,277.850736258803,4.18174743652344
2000-01-17,34.0858154296875,853.077724335688,179.279342580355,102219.111379954,96.5945701599121,3.66555555555556,293.61505859375,0.999206506646507,279.387054443359,301.467186249188,8.64118671417236
2000-01-18,33.8178863525391,1274.09412110236,132.836769526501,101648.894555987,86.3930931091309,8.32888888888889,315.17125,0.649016526026056,279.135498046875,318.458423696403,9.01772975921631
2000-01-19,22.582670211792,501.339320819665,210.896910702337,102665.464335716,77.085578918457,21.4255555555556,270.565276692708,0.0732455404157528,275.557250976562,319.481922956795,4.22067546844482
2000-01-20,33.2487373352051,619.88585967909,203.27262245166,102558.521760983,91.0767097473145,39.22,210.029222005208,0.779698777716044,276.186767578125,277.314840494566,6.56041717529297
2000-01-21,33.4388542175293,1222.81204617114,151.71075429998,101900.867998756,81.5144500732422,3.56333333333333,281.946285807292,0.532022034701075,277.239135742188,312.018326463648,7.32507658004761
2000-01-22,21.1522369384766,473.464524261955,88.1841279436837,101111.289679436,93.0033550262451,29.4922222222222,259.836006944444,0.999313323059612,274.289123535156,250.430814681256,3.83580732345581
2000-01-23,28.560661315918,501.842703150278,130.632375551992,101669.507768033,85.8371849060059,4.70444444444444,290.422588975694,0.593029466071529,272.357238769531,64.066774242604,3.41698884963989
2000-01-24,20.8129196166992,285.577069360552,194.527919081708,102508.865456144,75.421215057373,38.1411111111111,222.116867404514,0.372407794547259,269.25732421875,276.437165735483,1.77258205413818
2000-01-25,13.4024887084961,156.648269932228,221.445209142342,102849.998732509,76.9613094329834,42.9844444444444,194.30832953559,0.00428791601278017,270.497741699219,223.905124781548,2.82544994354248
2000-01-26,10.4044361114502,399.215630496498,229.479405363485,102911.161516908,88.6434230804443,51.71,190.502886284722,0.774357957060802,274.394897460938,260.508955936892,5.68467950820923
2000-01-27,7.96119213104248,653.927089786813,215.150844529178,102717.274259724,89.6643772125244,8.95333333333333,279.076202256944,0.95574748600042,274.446105957031,256.22323978208,6.57533597946167
2000-01-28,22.02783203125,668.839791331231,134.221347560076,101690.92089577,73.3209323883057,14.7588888888889,282.638118489583,0.90444508873492,274.926513671875,242.109083294901,7.46240997314453
2000-01-29,36.8490600585938,976.091781379306,-18.0412453362062,99789.8904893336,90.4697761535645,35.1488888888889,257.861869574653,0.999328582547198,280.577362060547,238.819829716431,10.4816560745239
2000-01-30,36.6353797912598,1440.08444462209,39.5371609153209,100486.678588459,78.833963394165,1.31666666666667,309.074114583333,0.555720018922764,279.671936035156,278.333241067707,8.39704132080078
2000-01-31,34.7187347412109,1305.49259397436,110.150640627683,101352.618090313,88.7648220062256,46.6633333333333,262.747830946181,0.883310698427747,282.045104980469,263.990565192653,9.59530925750732
2000-02-01,24.6423740386963,935.695349347591,148.244754683036,101819.276598241,82.4059448242188,23.23,307.397176649306,0.973036485435819,281.993408203125,240.947257359287,6.66998291015625
2000-02-02,30.9894123077393,636.182862632695,108.237736765506,101329.420535265,87.2806606292725,32.8133333333333,298.129636501736,0.811850518060603,280.471405029297,258.40450827389,6.5275764465332
2000-02-03,31.6845569610596,1057.63971893866,205.385925766065,102560.921508057,81.9920043945312,12.0055555555556,296.548071831597,0.470343185876818,279.106170654297,287.304889598413,7.00023889541626
2000-02-04,17.046501159668,539.973914694234,249.797177099608,103120.308704202,90.2450008392334,43.4988888888889,257.157009548611,0.788091495888568,279.878082275391,241.211945104226,6.56917238235474
2000-02-05,17.9477272033691,556.900145561105,227.170257129857,102797.327360833,84.5630016326904,9.33,286.278297526042,0.552347672166169,282.1611328125,259.895618811035,6.39152956008911
2000-02-06,24.2954788208008,425.202743314408,175.599279912167,102147.980415401,61.8333473205566,49.4622222222222,288.521662326389,0.979353913296591,282.930114746094,229.410378313387,4.88888120651245
2000-02-07,30.7257919311523,893.285387993423,111.198183218875,101363.324654182,76.6124877929688,46.2611111111111,266.978383246528,0.88584377336709,281.738739013672,232.696942816716,6.92089939117432
2000-02-08,35.1603698730469,1228.66386576451,23.5962953971794,100293.098991157,77.5918216705322,36.6344444444444,300.341279296875,0.926205118033136,282.79541015625,242.663079069752,8.93927192687988
2000-02-09,33.9395790100098,1357.21512844488,89.8601960895911,101115.104661964,76.8613243103027,21.0633333333333,310.4243359375,0.633177177911366,279.285583496094,270.763434134644,9.3112678527832
2000-02-10,28.3144664764404,626.366907185736,154.889818337598,101923.450234042,74.7671298980713,31.5611111111111,266.719605034722,0.602383531961997,280.731323242188,230.964959160506,7.08683490753174
2000-02-11,26.2014484405518,615.544187077551,198.28996334399,102470.284907032,79.7804775238037,67.8677777777778,251.579861111111,0.394579830010308,278.865966796875,271.135072918608,4.67616033554077
